[20:37:19.481] [INFO   ] thread bguspl.set.Main.main() starting.
[20:37:19.492] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:37:26.667] [SEVERE ] updating countdown to 14289
[20:37:26.678] [SEVERE ] updating countdown to 14278
[20:37:26.690] [SEVERE ] updating countdown to 14266
[20:37:26.705] [SEVERE ] updating countdown to 14251
[20:37:26.719] [SEVERE ] updating countdown to 14237
[20:37:26.730] [SEVERE ] updating countdown to 14226
[20:37:26.741] [SEVERE ] updating countdown to 14215
[20:37:26.752] [SEVERE ] updating countdown to 14204
[20:37:26.763] [SEVERE ] updating countdown to 14193
[20:37:26.774] [SEVERE ] updating countdown to 14182
[20:37:26.786] [SEVERE ] updating countdown to 14170
[20:37:26.798] [SEVERE ] updating countdown to 14158
[20:37:26.823] [SEVERE ] updating countdown to 14133
[20:37:26.834] [SEVERE ] updating countdown to 14122
[20:37:26.853] [SEVERE ] updating countdown to 14103
[20:37:26.902] [SEVERE ] updating countdown to 14054
[20:37:26.914] [SEVERE ] updating countdown to 14042
[20:37:26.925] [SEVERE ] updating countdown to 14031
[20:37:26.938] [SEVERE ] updating countdown to 14018
[20:37:26.951] [SEVERE ] updating countdown to 14005
[20:37:26.987] [SEVERE ] updating countdown to 13969
[20:37:26.999] [SEVERE ] updating countdown to 13957
[20:37:27.010] [SEVERE ] updating countdown to 13946
[20:37:27.021] [SEVERE ] updating countdown to 13935
[20:37:27.032] [SEVERE ] updating countdown to 13924
[20:37:27.044] [SEVERE ] updating countdown to 13912
[20:37:27.055] [SEVERE ] updating countdown to 13901
[20:37:27.067] [SEVERE ] updating countdown to 13889
[20:37:27.078] [SEVERE ] updating countdown to 13878
[20:37:27.089] [SEVERE ] updating countdown to 13867
[20:37:27.100] [SEVERE ] updating countdown to 13856
[20:37:27.112] [SEVERE ] updating countdown to 13844
[20:37:27.131] [SEVERE ] updating countdown to 13825
[20:37:27.142] [SEVERE ] updating countdown to 13814
[20:37:27.153] [SEVERE ] updating countdown to 13803
[20:37:27.199] [SEVERE ] updating countdown to 13757
[20:37:27.210] [SEVERE ] updating countdown to 13746
[20:37:27.226] [SEVERE ] updating countdown to 13730
[20:37:27.237] [SEVERE ] updating countdown to 13719
[20:37:27.248] [SEVERE ] updating countdown to 13708
[20:37:27.295] [SEVERE ] updating countdown to 13661
[20:37:27.310] [SEVERE ] updating countdown to 13647
[20:37:27.321] [SEVERE ] updating countdown to 13635
[20:37:27.331] [SEVERE ] updating countdown to 13625
[20:37:27.343] [SEVERE ] updating countdown to 13613
[20:37:27.374] [SEVERE ] updating countdown to 13582
[20:37:27.385] [SEVERE ] updating countdown to 13571
[20:37:27.396] [SEVERE ] updating countdown to 13560
[20:37:27.407] [SEVERE ] updating countdown to 13549
[20:37:27.418] [SEVERE ] updating countdown to 13538
[20:37:27.430] [SEVERE ] updating countdown to 13526
[20:37:27.445] [SEVERE ] updating countdown to 13511
[20:37:27.483] [SEVERE ] updating countdown to 13473
[20:37:27.494] [SEVERE ] updating countdown to 13462
[20:37:27.505] [SEVERE ] updating countdown to 13451
[20:37:27.516] [SEVERE ] updating countdown to 13440
[20:37:27.527] [SEVERE ] updating countdown to 13429
[20:37:27.538] [SEVERE ] updating countdown to 13418
[20:37:27.548] [SEVERE ] updating countdown to 13408
[20:37:27.559] [SEVERE ] updating countdown to 13397
[20:37:27.572] [SEVERE ] updating countdown to 13384
[20:37:27.583] [SEVERE ] updating countdown to 13373
[20:37:27.594] [SEVERE ] updating countdown to 13362
[20:37:27.605] [SEVERE ] updating countdown to 13351
[20:37:27.616] [SEVERE ] updating countdown to 13340
[20:37:27.641] [SEVERE ] updating countdown to 13315
[20:37:27.652] [SEVERE ] updating countdown to 13304
[20:37:27.662] [SEVERE ] updating countdown to 13294
[20:37:27.673] [SEVERE ] updating countdown to 13283
[20:37:27.687] [SEVERE ] updating countdown to 13269
[20:37:27.704] [SEVERE ] updating countdown to 13252
[20:37:27.715] [SEVERE ] updating countdown to 13241
[20:37:27.727] [SEVERE ] updating countdown to 13229
[20:37:27.763] [SEVERE ] updating countdown to 13193
[20:37:27.776] [SEVERE ] updating countdown to 13180
